id,name,code,weekly_hours,semester
101,INGLÉS I,ING1,5,1
102,DESARROLLO HUMANO Y VALORES,DHV,4,1
103,FUNDAMENTOS MATEMÁTICOS,FM,7,1
104,FUNDAMENTOS DE REDES,FR,4,1
105,FÍSICA,FIS,6,1
106,FUNDAMENTOS DE PROGRAMACIÓN,FP,4,1
107,COMUNICACIÓN Y HABILIDADES DIGITALES,CHD,5,1
201,INGLÉS II,ING2,5,2
202,LIDERAZGO SOCIOEMOCIONAL,LSE,4,2
203,CÁLCULO DIFERENCIAL,CD,6,2
204,CONMUTACIÓN Y ENRUTAMIENTO DE REDES,CER,5,2
205,PROBABILIDAD Y ESTADÍSTICA,PE,5,2
206,PROGRAMACIÓN ESTRUCTURADA,PEST,5,2
207,SISTEMAS OPERATIVOS,SO,5,2
301,INGLÉS III,ING3,5,3
302,LIDERAZGO Y TOMA DE DECISIONES,LTD,4,3
303,CÁLCULO INTEGRAL,CI,4,3
304,TÓPICOS DE CALIDAD APLICADO AL DISEÑO DE SOFTWARE,TCADS,6,3
305,BASES DE DATOS,BD,5,3
306,PROGRAMACIÓN ORIENTADA A OBJETOS,POO,7,3
307,PROYECTO INTEGRADOR I,PI1,4,3
401,INGLÉS IV,ING4,5,4
402,ÉTICA PROFESIONAL,EP,4,4
403,CÁLCULO DE VARIAS VARIABLES,CVV,5,4
404,APLICACIONES WEB,AW,5,4
405,ESTRUCTURA DE DATOS,ED,5,4
406,DESARROLLO DE APLICACIONES MÓVILES,DAM,6,4
407,ANÁLISIS Y DISEÑO DE SOFTWARE,ADS,5,4
501,INGLÉS V,ING5,5,5
502,LIDERAZGO DE EQUIPOS DE ALTO DESEMPEÑO,LEAD,4,5
503,ECUACIONES DIFERENCIALES,EDIF,5,5
504,APLICACIONES WEB ORIENTADAS A SERVICIOS,AWOS,6,5
505,BASES DE DATOS AVANZADAS,BDA,5,5
506,INGENIERÍA DE MÉTRICAS PARA EL DESARROLLO DE SOFTWARE,IMDS,6,5
507,PROYECTO INTEGRADOR II,PI2,4,5
601,ESTADIA EN DESARROLLO DE SOFTWARE MULTIPLATAFORMA,EDSM,40,6
701,INGLÉS VI,ING6,5,7
702,HABILIDADES GERENCIALES,HG,4,7
703,FORMULACIÓN DE PROYECTOS DE TECNOLOGÍA,FPT,4,7
704,FUNDAMENTOS DE INTELIGENCIA ARTIFICIAL,FIA,6,7
705,LEGISLACIÓN EN TECNOLOGÍAS DE LA INFORMACIÓN,LMTI,4,7
706,OPTATIVA I MODELACIÓN DE DATOS EN LA NUBE,OAMDN,6,7
707,SEGURIDAD INFORMÁTICA,SI,6,7
801,INGLÉS VII,ING7,5,8
802,ELECTRÓNICA DIGITAL,EDIG,5,8
803,GESTIÓN DE PROYECTOS DE TECNOLOGÍA,GPT,4,8
804,PROGRAMACIÓN PARA INTELIGENCIA ARTIFICIAL,PAIA,5,8
805,ADMINISTRACIÓN DE SERVIDORES,AS,5,8
806,OPTATIVA II PROGRAMACIÓN MÓVIL AVANZADA,OPMA,6,8
807,INFORMÁTICA FORENSE,IF,5,8
901,INGLÉS VIII,ING8,5,9
902,INTERNET DE LAS COSAS,IOT,5,9
903,EVALUACIÓN DE PROYECTOS DE TECNOLOGÍA,EPT,4,9
904,CIENCIA DE DATOS,CDAT,6,9
905,TECNOLOGÍAS DISRUPTIVAS,TD,5,9
906,OPTATIVA III FRAMEWORKS PARA EL DESARROLLO,OFD,6,9
907,PROYECTO INTEGRADOR III,PI3,4,9
1001,ESTADIA EN LICENCIATURA EN INGENIERÍA EN TECNOLOGÍAS DE LA INFORMACIÓN E INNOVACIÓN DIGITAL,LITIID,40,10
